ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-08-20 04:00:00,111.6114919939204,99.1089774460171,128.4090752944517,111.6114919939204,111.6114919939204,1.8785571747873833,1.8785571747873833,1.8785571747873833,2.90899192465499,2.90899192465499,2.90899192465499,-1.0304347498676063,-1.0304347498676063,-1.0304347498676063,0.0,0.0,0.0,113.49004916870778
2014-08-21 04:00:00,111.63202649131907,98.88821939419728,128.0448058125174,111.63202649131907,111.63202649131907,1.7639332430324417,1.7639332430324417,1.7639332430324417,2.8400173100665436,2.8400173100665436,2.8400173100665436,-1.0760840670341016,-1.0760840670341016,-1.0760840670341016,0.0,0.0,0.0,113.39595973435151
2014-08-22 04:00:00,111.65256098871775,99.13973974948856,127.94804933812418,111.65256098871775,111.65256098871775,1.6262490347991243,1.6262490347991243,1.6262490347991243,2.752561819392941,2.752561819392941,2.752561819392941,-1.1263127845938168,-1.1263127845938168,-1.1263127845938168,0.0,0.0,0.0,113.27881002351688
2014-08-25 04:00:00,111.71416448091377,98.09834285676551,127.80153151804583,111.71416448091377,111.71416448091377,1.5231302493226546,1.5231302493226546,1.5231302493226546,2.819952292353188,2.819952292353188,2.819952292353188,-1.2968220430305337,-1.2968220430305337,-1.2968220430305337,0.0,0.0,0.0,113.23729473023641
2014-08-26 04:00:00,111.73469897831242,99.33537646983754,128.1550022120728,111.73469897831242,111.73469897831242,1.5706253324638133,1.5706253324638133,1.5706253324638133,2.927229375770964,2.927229375770964,2.927229375770964,-1.3566040433071505,-1.3566040433071505,-1.3566040433071505,0.0,0.0,0.0,113.30532431077624
2014-08-27 04:00:00,111.75523347571111,98.0615721170941,127.54078071373931,111.75523347571111,111.75523347571111,1.4934004275646724,1.4934004275646724,1.4934004275646724,2.9089919246501217,2.9089919246501217,2.9089919246501217,-1.4155914970854497,-1.4155914970854497,-1.4155914970854497,0.0,0.0,0.0,113.24863390327577
2014-08-28 04:00:00,111.77576797310978,98.5095736684702,127.03366130330423,111.77576797310978,111.77576797310978,1.3677641135057619,1.3677641135057619,1.3677641135057619,2.8400173100644066,2.8400173100644066,2.8400173100644066,-1.4722531965586445,-1.4722531965586445,-1.4722531965586445,0.0,0.0,0.0,113.14353208661554
2014-08-29 04:00:00,111.79630247050845,97.49515266768908,127.43480188066971,111.79630247050845,111.79630247050845,1.2275472897996806,1.2275472897996806,1.2275472897996806,2.75256181938611,2.75256181938611,2.75256181938611,-1.5250145295864292,-1.5250145295864292,-1.5250145295864292,0.0,0.0,0.0,113.02384976030814
2014-09-02 04:00:00,111.87844046010314,99.24030817225743,127.98428127666679,111.87844046010314,111.87844046010314,1.2601022171874943,1.2601022171874943,1.2601022171874943,2.92722937578138,2.92722937578138,2.92722937578138,-1.6671271585938854,-1.6671271585938854,-1.6671271585938854,0.0,0.0,0.0,113.13854267729063
2014-09-03 04:00:00,111.89897495750182,98.47117250671899,127.94506001331213,111.89897495750182,111.89897495750182,1.2298987583564926,1.2298987583564926,1.2298987583564926,2.9089919246517977,2.9089919246517977,2.9089919246517977,-1.679093166295305,-1.679093166295305,-1.679093166295305,0.0,0.0,0.0,113.12887371585832
2014-09-04 04:00:00,111.91950945490048,98.04528685811408,127.74376070606942,111.91950945490048,111.91950945490048,1.1601724276270242,1.1601724276270242,1.1601724276270242,2.840017310065055,2.840017310065055,2.840017310065055,-1.6798448824380308,-1.6798448824380308,-1.6798448824380308,0.0,0.0,0.0,113.0796818825275
2014-09-05 04:00:00,111.94004395229916,98.94372657428309,128.9730644339772,111.94004395229916,111.94004395229916,1.0835846687824082,1.0835846687824082,1.0835846687824082,2.7525618193792782,2.7525618193792782,2.7525618193792782,-1.66897715059687,-1.66897715059687,-1.66897715059687,0.0,0.0,0.0,113.02362862108157
2014-09-08 04:00:00,112.00164744449518,98.85567231503809,128.59430696911426,112.00164744449518,112.00164744449518,1.2523004306663958,1.2523004306663958,1.2523004306663958,2.8199522923440092,2.8199522923440092,2.8199522923440092,-1.567651861677613,-1.567651861677613,-1.567651861677613,0.0,0.0,0.0,113.25394787516157
2014-09-09 04:00:00,112.02218194189386,98.25055281776989,128.67060601204832,112.02218194189386,112.02218194189386,1.4141690467107857,1.4141690467107857,1.4141690467107857,2.927229375777267,2.927229375777267,2.927229375777267,-1.5130603290664817,-1.5130603290664817,-1.5130603290664817,0.0,0.0,0.0,113.43635098860464
2014-09-10 04:00:00,112.04271643929252,98.94705772049271,128.12652395193894,112.04271643929252,112.04271643929252,1.4590163949437347,1.4590163949437347,1.4590163949437347,2.908991924648308,2.908991924648308,2.908991924648308,-1.4499755297045736,-1.4499755297045736,-1.4499755297045736,0.0,0.0,0.0,113.50173283423625
2014-09-11 04:00:00,112.06325093669119,100.0023920376404,128.9008550216063,112.06325093669119,112.06325093669119,1.4599850621779664,1.4599850621779664,1.4599850621779664,2.8400173100671506,2.8400173100671506,2.8400173100671506,-1.3800322478891847,-1.3800322478891847,-1.3800322478891847,0.0,0.0,0.0,113.52323599886915
2014-09-12 04:00:00,112.08378543408988,98.7276355567774,128.41651031607228,112.08378543408988,112.08378543408988,1.4474157582950222,1.4474157582950222,1.4474157582950222,2.752561819372447,2.752561819372447,2.752561819372447,-1.3051460610774246,-1.3051460610774246,-1.3051460610774246,0.0,0.0,0.0,113.5312011923849
2014-09-15 04:00:00,112.14538892628589,99.22517590357404,127.55787758776827,112.14538892628589,112.14538892628589,1.7467193355612975,1.7467193355612975,1.7467193355612975,2.819952292361391,2.819952292361391,2.819952292361391,-1.0732329568000933,-1.0732329568000933,-1.0732329568000933,0.0,0.0,0.0,113.89210826184718
2014-09-16 04:00:00,112.16592342368457,99.22654730040183,128.9897536479,112.16592342368457,112.16592342368457,1.9255585112757445,1.9255585112757445,1.9255585112757445,2.9272293757705117,2.9272293757705117,2.9272293757705117,-1.0016708644947672,-1.0016708644947672,-1.0016708644947672,0.0,0.0,0.0,114.09148193496031
2014-09-17 04:00:00,112.18645792108323,100.05997534622222,129.2640956160362,112.18645792108323,112.18645792108323,1.9718050669132454,1.9718050669132454,1.9718050669132454,2.908991924655151,2.908991924655151,2.908991924655151,-0.9371868577419055,-0.9371868577419055,-0.9371868577419055,0.0,0.0,0.0,114.15826298799648
2014-09-18 04:00:00,112.20699241848192,99.95974794442142,128.6968822909244,112.20699241848192,112.20699241848192,1.9577767388962162,1.9577767388962162,1.9577767388962162,2.840017310065015,2.840017310065015,2.840017310065015,-0.8822405711687993,-0.8822405711687993,-0.8822405711687993,0.0,0.0,0.0,114.16476915737813
