ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-03 05:00:00,25.905601495788574,10.015045084184019,39.972277823018,25.905601495788574,25.905601495788574,-1.435274105734122,-1.435274105734122,-1.435274105734122,-3.850283111452205,-3.850283111452205,-3.850283111452205,2.4150090057180833,2.4150090057180833,2.4150090057180833,0.0,0.0,0.0,24.47032739005445
2000-01-04 05:00:00,25.91950128080775,9.117147245997367,39.14023469235479,25.91950128080775,25.91950128080775,-1.44267641385556,-1.44267641385556,-1.44267641385556,-3.874712529620811,-3.874712529620811,-3.874712529620811,2.4320361157652512,2.4320361157652512,2.4320361157652512,0.0,0.0,0.0,24.476824866952192
2000-01-05 05:00:00,25.93340106582693,8.606575311092248,39.945944596804324,25.93340106582693,25.93340106582693,-1.3580121257167381,-1.3580121257167381,-1.3580121257167381,-3.803986252113522,-3.803986252113522,-3.803986252113522,2.445974126396784,2.445974126396784,2.445974126396784,0.0,0.0,0.0,24.575388940110194
2000-01-06 05:00:00,25.94730085084611,8.057448508959263,40.55769015895208,25.94730085084611,25.94730085084611,-1.567225440192969,-1.567225440192969,-1.567225440192969,-4.0240867598777506,-4.0240867598777506,-4.0240867598777506,2.4568613196847817,2.4568613196847817,2.4568613196847817,0.0,0.0,0.0,24.380075410653138
2000-01-07 05:00:00,25.961200635865286,9.786999506540766,41.085020147724215,25.961200635865286,25.961200635865286,-0.5724637024244672,-0.5724637024244672,-0.5724637024244672,-3.037193235156991,-3.037193235156991,-3.037193235156991,2.4647295327325236,2.4647295327325236,2.4647295327325236,0.0,0.0,0.0,25.388736933440818
2000-01-10 05:00:00,26.002899990922828,8.970681756834786,40.54620535580437,26.002899990922828,26.002899990922828,-1.3800523443098809,-1.3800523443098809,-1.3800523443098809,-3.8502831114388987,-3.8502831114388987,-3.8502831114388987,2.470230767129018,2.470230767129018,2.470230767129018,0.0,0.0,0.0,24.622847646612946
2000-01-11 05:00:00,26.016799775942005,9.70946655985159,40.760350400331504,26.016799775942005,26.016799775942005,-1.408840740195198,-1.408840740195198,-1.408840740195198,-3.8747125296223426,-3.8747125296223426,-3.8747125296223426,2.465871789427144,2.465871789427144,2.465871789427144,0.0,0.0,0.0,24.607959035746806
2000-01-12 05:00:00,26.03069956096118,7.41542685246145,38.50405091365416,26.03069956096118,26.03069956096118,-1.345751563822174,-1.345751563822174,-1.345751563822174,-3.803986252111296,-3.803986252111296,-3.803986252111296,2.4582346882891226,2.4582346882891226,2.4582346882891226,0.0,0.0,0.0,24.68494799713901
2000-01-13 05:00:00,26.044599345980362,9.435104264038701,39.32874779386992,26.044599345980362,26.044599345980362,-1.5769452848213388,-1.5769452848213388,-1.5769452848213388,-4.024086759877023,-4.024086759877023,-4.024086759877023,2.447141475055685,2.447141475055685,2.447141475055685,0.0,0.0,0.0,24.467654061159024
2000-01-14 05:00:00,26.05849913099954,11.18041067298355,42.20965877410464,26.05849913099954,26.05849913099954,-0.604825647935775,-0.604825647935775,-0.604825647935775,-3.037193235173107,-3.037193235173107,-3.037193235173107,2.432367587237332,2.432367587237332,2.432367587237332,0.0,0.0,0.0,25.453673483063763
